Date,open,high,low,close,volume,dividends,stock splits
2021-09-14 00:00:00-04:00,677.25,685.0,677.25,685.0,55986,0.0,0.0
2021-09-15 00:00:00-04:00,700.0,714.75,695.25,712.25,51075,0.0,0.0
2021-09-16 00:00:00-04:00,711.25,716.75,705.0,713.0,40246,0.0,0.0
2021-09-17 00:00:00-04:00,713.75,716.0,706.5,708.75,33375,0.0,0.0
2021-09-20 00:00:00-04:00,708.0,710.75,695.75,700.75,37449,0.0,0.0
2021-09-21 00:00:00-04:00,700.25,701.0,686.0,690.25,43195,0.0,0.0
2021-09-22 00:00:00-04:00,689.5,706.75,688.0,705.75,37475,0.0,0.0
2021-09-23 00:00:00-04:00,708.5,719.5,704.0,717.75,46804,0.0,0.0
2021-09-24 00:00:00-04:00,718.5,725.75,711.5,723.75,47318,0.0,0.0
2021-09-27 00:00:00-04:00,723.5,728.5,720.25,722.25,32063,0.0,0.0
2021-09-28 00:00:00-04:00,722.0,726.75,706.0,706.5,54403,0.0,0.0
2021-09-29 00:00:00-04:00,709.25,717.75,708.25,710.25,38927,0.0,0.0
2021-09-30 00:00:00-04:00,711.25,732.75,701.25,725.5,71326,0.0,0.0
2021-10-01 00:00:00-04:00,725.0,758.5,722.75,755.25,85696,0.0,0.0
2021-10-04 00:00:00-04:00,752.25,763.5,748.5,756.5,54746,0.0,0.0
2021-10-05 00:00:00-04:00,756.25,757.0,743.75,744.75,49150,0.0,0.0
2021-10-06 00:00:00-04:00,744.75,756.75,742.25,746.0,44642,0.0,0.0
2021-10-07 00:00:00-04:00,746.0,752.5,739.5,741.25,42606,0.0,0.0
2021-10-08 00:00:00-04:00,739.25,746.5,731.75,734.0,47836,0.0,0.0
2021-10-11 00:00:00-04:00,734.0,739.5,731.0,731.75,32210,0.0,0.0
2021-10-12 00:00:00-04:00,731.75,743.75,718.0,734.0,57859,0.0,0.0
2021-10-13 00:00:00-04:00,736.0,737.75,712.75,718.75,57903,0.0,0.0
2021-10-14 00:00:00-04:00,718.75,729.5,718.5,724.75,39585,0.0,0.0
2021-10-15 00:00:00-04:00,725.0,740.5,722.25,734.0,40534,0.0,0.0
2021-10-18 00:00:00-04:00,734.0,738.75,728.5,736.25,31460,0.0,0.0
2021-10-19 00:00:00-04:00,736.0,745.25,735.25,736.0,37740,0.0,0.0
2021-10-20 00:00:00-04:00,737.0,750.0,736.5,749.25,35078,0.0,0.0
2021-10-21 00:00:00-04:00,749.75,752.5,738.25,741.25,33633,0.0,0.0
2021-10-22 00:00:00-04:00,743.75,759.5,743.5,756.0,52332,0.0,0.0
2021-10-25 00:00:00-04:00,759.75,767.0,753.25,759.5,42579,0.0,0.0
2021-10-26 00:00:00-04:00,763.0,765.0,747.5,752.25,53537,0.0,0.0
2021-10-27 00:00:00-04:00,750.5,762.75,745.0,759.75,49839,0.0,0.0
2021-10-28 00:00:00-04:00,760.0,780.0,751.5,772.5,57331,0.0,0.0
2021-10-29 00:00:00-04:00,773.25,780.0,763.5,772.75,48726,0.0,0.0
2021-11-01 00:00:00-04:00,774.5,800.5,768.25,797.25,73027,0.0,0.0
2021-11-02 00:00:00-04:00,798.5,807.0,789.75,791.5,65894,0.0,0.0
2021-11-03 00:00:00-04:00,790.5,796.75,777.5,781.0,53180,0.0,0.0
2021-11-04 00:00:00-04:00,782.0,794.25,772.25,773.75,51270,0.0,0.0
2021-11-05 00:00:00-04:00,774.75,781.5,765.5,766.5,83637,0.0,0.0
2021-11-08 00:00:00-05:00,768.25,773.0,762.5,768.0,75813,0.0,0.0
2021-11-09 00:00:00-05:00,769.25,783.25,764.5,778.5,81300,0.0,0.0
2021-11-10 00:00:00-05:00,783.0,803.75,778.0,803.0,85821,0.0,0.0
2021-11-11 00:00:00-05:00,803.0,824.75,798.25,812.5,107495,0.0,0.0
2021-11-12 00:00:00-05:00,814.25,826.75,805.5,817.0,63147,0.0,0.0
2021-11-15 00:00:00-05:00,819.75,829.5,813.25,826.25,57377,0.0,0.0
2021-11-16 00:00:00-05:00,827.5,827.5,810.0,810.25,58357,0.0,0.0
2021-11-17 00:00:00-05:00,812.0,835.0,810.5,822.25,63821,0.0,0.0
2021-11-18 00:00:00-05:00,824.25,843.25,819.25,820.0,63590,0.0,0.0
2021-11-19 00:00:00-05:00,821.0,830.75,813.5,823.0,42696,0.0,0.0
2021-11-22 00:00:00-05:00,827.5,848.5,826.0,845.75,40429,0.0,0.0
2021-11-23 00:00:00-05:00,846.5,856.5,838.25,856.0,29297,0.0,0.0
2021-11-24 00:00:00-05:00,856.5,863.25,833.5,836.75,46267,0.0,0.0
2021-11-26 00:00:00-05:00,821.25,830.5,810.0,825.5,29473,0.0,0.0
2021-11-29 00:00:00-05:00,837.75,840.5,805.0,807.5,20037,0.0,0.0
2021-11-30 00:00:00-05:00,808.25,808.25,770.5,773.75,2662,0.0,0.0
2021-12-01 00:00:00-05:00,784.0,785.5,774.75,778.5,484,0.0,0.0
2021-12-02 00:00:00-05:00,779.5,809.25,779.5,806.5,192,0.0,0.0
2021-12-03 00:00:00-05:00,809.5,814.75,794.5,794.5,102,0.0,0.0
